city_id,city_names,Latitude,Longitude,Temp Day,Temp Day +1,Temp Day +2,Temp Day +3,Temp Day +4,Temp Day +5,Temp Day +6,Temp Day +7,Today,Day +1,Day +2,Day +3,Day +4,Day +5,Day +6,Day +7,Temp Today,humidity Today,humidity Day +1,humidity Day +2,humidity Day +3,humidity Day +4,humidity Day +5,humidity Day +6,humidity Day +7,Avg Temp,Avg humidity,weather Today,weather Day+1,weather Day+2,weather Day+3,weather Day+4,weather Day+5,weather Day+6,weather Day+7
1,Mont Saint Michel,48.6359541,-1.5114599549595142,6.15,9.26,10.65,11.67,9.54,9.2,9.84,10.1,6.15,9.26,10.65,11.67,9.54,9.2,9.84,10.1,5.94,77.0,86.0,77.0,84.0,65.0,74.0,77.0,71.0,10.0,76.0,clear sky,broken clouds,broken clouds,overcast clouds,overcast clouds,light rain,few clouds,overcast clouds
2,St Malo,48.649518,-2.0260409,6.02,9.09,10.31,11.13,8.75,8.91,9.52,10.24,6.02,9.09,10.31,11.13,8.75,8.91,9.52,10.24,5.84,77.0,86.0,82.0,85.0,71.0,74.0,80.0,69.0,9.0,78.0,broken clouds,light rain,broken clouds,overcast clouds,overcast clouds,broken clouds,light rain,overcast clouds
3,Bayeux,49.2764624,-0.7024738,6.42,10.32,9.83,12.3,7.87,8.78,9.86,10.23,6.42,10.32,9.83,12.3,7.87,8.78,9.86,10.23,6.74,70.0,82.0,77.0,77.0,63.0,70.0,72.0,70.0,9.0,73.0,overcast clouds,broken clouds,broken clouds,overcast clouds,scattered clouds,overcast clouds,scattered clouds,few clouds
4,Le Havre,49.493897499999996,0.10797319999999999,6.43,8.42,8.61,10.23,7.61,8.28,8.22,9.03,6.43,8.42,8.61,10.23,7.61,8.28,8.22,9.03,6.51,73.0,91.0,81.0,87.0,62.0,69.0,85.0,78.0,8.0,78.0,overcast clouds,light rain,overcast clouds,light rain,light rain,light rain,broken clouds,few clouds
5,Rouen,49.4404591,1.0939658,5.52,8.52,8.82,11.89,7.54,7.74,8.95,9.92,5.52,8.52,8.82,11.89,7.54,7.74,8.95,9.92,5.66,74.0,87.0,76.0,83.0,59.0,71.0,75.0,77.0,9.0,75.0,overcast clouds,broken clouds,overcast clouds,broken clouds,few clouds,broken clouds,overcast clouds,scattered clouds
6,Paris,48.858889700000006,2.3200410217200766,3.45,7.15,7.66,11.34,8.17,8.89,6.99,9.02,3.45,7.15,7.66,11.34,8.17,8.89,6.99,9.02,3.61,74.0,72.0,70.0,76.0,58.0,63.0,73.0,69.0,8.0,69.0,scattered clouds,scattered clouds,broken clouds,few clouds,scattered clouds,light rain,broken clouds,scattered clouds
7,Amiens,49.8941708,2.2956951,4.56,8.77,8.02,10.42,6.94,7.19,6.58,10.22,4.56,8.77,8.02,10.42,6.94,7.19,6.58,10.22,4.79,75.0,87.0,76.0,87.0,67.0,75.0,86.0,79.0,8.0,79.0,overcast clouds,overcast clouds,broken clouds,broken clouds,clear sky,light rain,overcast clouds,broken clouds
8,Lille,50.636565399999995,3.0635282000000004,4.6,8.22,7.64,9.66,7.55,6.99,6.31,9.94,4.6,8.22,7.64,9.66,7.55,6.99,6.31,9.94,4.55,72.0,89.0,79.0,89.0,60.0,81.0,83.0,79.0,8.0,79.0,overcast clouds,overcast clouds,broken clouds,overcast clouds,light rain,light rain,broken clouds,scattered clouds
9,Strasbourg,48.584614,7.750712700000001,3.65,4.12,4.94,5.45,7.71,5.29,5.69,5.23,3.65,4.12,4.94,5.45,7.71,5.29,5.69,5.23,3.65,64.0,62.0,77.0,69.0,53.0,61.0,59.0,85.0,5.0,66.0,clear sky,overcast clouds,light rain,overcast clouds,light rain,light rain,light rain,light rain
10,Château du Haut Koenigsbourg,48.249489800000006,7.34429620253195,2.61,3.27,3.3,4.36,5.99,1.92,1.53,2.66,2.61,3.27,3.3,4.36,5.99,1.92,1.53,2.66,2.61,58.0,56.0,72.0,68.0,64.0,67.0,71.0,92.0,3.0,68.0,clear sky,light rain,light rain,overcast clouds,light rain,rain and snow,rain and snow,rain and snow
